,0
PFGDAAU LX Equity,0.41839316519119557
PFTEAAU LX Equity,0.42266819909613146
MBIPEANV CI Equity,0.34115154180894064
PFCSAAU LX Equity,0.41364172447642394
BCPACCI PE Equity,0.22716196167441186
PFARAAU LX Equity,0.45702381120498364
PFBKAAU LX Equity,0.40682195224399587
PFGOAAU LX Equity,0.622384302471812
MONLAEA CI Equity,0.17794492794636033
WEDINBU KY Equity,0.5027639429773909
BCPDINA PE Equity,0.26254965508990497
PSGGFXU MV Equity,0.45683779885822945
INTERFD PE Equity,0.18854065641163548
PHITHAI KY Equity,0.25841150633160587
ORBGBIN LX Equity,0.43792996521170896
GOLPERB LX Equity,0.30584901831084854
MGEPMUS LX Equity,0.33659411924334126
HAVASPG SP Equity,0.3639690381862326
GIMFX US Equity,0.19481367619452208
HANGOLD GR Equity,0.14775873891319116
FOORIFA LX Equity,0.3360687735467926
UTRNDZU LX Equity,0.025139130207602445
MQIFX US Equity,0.35646441148439817
PWZERMA LX Equity,-0.1006654459800276
HRLAX US Equity,0.2522799260923871
UNIGOUS MK Equity,0.10332728390063343
AIBALMA AB Equity,0.4370743387352574
FERTTRB LX Equity,0.3268976612198849
IPFCX US Equity,0.35746597172068056
CREDBAL PE Equity,0.25467860123861674
PMAIX US Equity,0.38467421648552935
BBBABER PL Equity,0.27912484909145063
LODFUIA LX Equity,0.4069330181998622
RAPAX US Equity,0.3341734231838632
SGHIX US Equity,0.32749135930164053
SCHRRTB AR Equity,0.11280109114442818
SGVIEOP HK Equity,0.5126538745055239
INVGMII GU Equity,
CCASORI MK Equity,0.48807360636356745
DUAOPIC JY Equity,0.3521609350459956
CAMGTFU SP Equity,0.291239248546277
CCASLTF MK Equity,0.47160701029191715
ACMTX US Equity,0.3466496095245906
TEMGBLI LX Equity,0.37130769992342577
FEBAX US Equity,0.3005583783667769
FIVSTFO LE Equity,0.36203136051042234
ELARAFI BH Equity,0.11369661159409727
WMRIX US Equity,0.2699498155968328
PHPABFI PM Equity,0.1640722204025682
BBFTOP3 KY Equity,0.4172208514555151
BNAAX US Equity,0.16548432425943738
PDMAX US Equity,-0.06960217901705872
UABSRUB LX Equity,0.39245437191227517
FFPBALA LX Equity,0.3236236240396011
PIMISIA ID Equity,0.3793104109004448
FSIUSBP IJ Equity,0.1669075146361751
JPTEMAU LX Equity,0.36662985338124005
CRLCBUU LX Equity,0.4274790807098581
SGTAAIA LX Equity,0.09047023265696544
FBPBX US Equity,0.4463858234127626
PIMGLEI ID Equity,0.2969571267873222
BCUSDLF KK Equity,0.3292512618587306
PRDAX US Equity,0.3766064071828856
PAMAICC LX Equity,0.1580578857179985
FPFGTCO MA Equity,-0.01159855326338978
FSRRX US Equity,0.39336867031438494
GMFDEBI LE Equity,0.4313816528726208
FID2020 LX Equity,0.012468563636608518
PREPABF PM Equity,0.1838418083284263
CORGLTA ID Equity,0.33515255515280884
FFGLUNI LE Equity,0.3256369518672849
BBFNTOP KY Equity,0.33738463561062165
BBTOPII KY Equity,0.33738463561062165
PWDAKAR LX Equity,0.00043068355332045587
RALIX US Equity,0.21962373266229018
FRIAX US Equity,0.3693847536990909
SWISSPO LE Equity,0.059149292905309195
INGTRIU LX Equity,0.3688096520053652
PGPGIFA ID Equity,0.4404412641481561
SBSMIXA AR Equity,0.12724028428310627
CLUGGLA VI Equity,0.337953052655845
HBFBX US Equity,0.2395123640696234
PPLUCNH ID Equity,0.42488949636581813
MLRMBUA LX Equity,0.3280906128993693
BLUESPH BM Equity,0.4435283385135211
ALWPADF VI Equity,0.3554121564590612
DODBX US Equity,0.2956192309598461
PFGLAAU LX Equity,0.46184537186052327
FBBAX US Equity,0.29375634038381354
INVFLEX GU Equity,0.41223197680413143
INEMAUA LX Equity,0.26183376281685644
LGTAXNA ID Equity,-0.06486694409611236
CUMBRIA LE Equity,0.2978132293578162
ACEIX US Equity,0.2868081364833505
LBTITL2 LX Equity,0.36561235552917015
MPCFABU LX Equity,0.23953100343240794
ALPCRDA LX Equity,0.4210870535789587
HSMSAAM LX Equity,0.08260361545330623
BSSAA2U LX Equity,-0.005009592556080244
GPSLTAM AR Equity,0.34411678220388253
ALCONGP AB Equity,0.3565686050438997
PQIZX US Equity,0.3612249751912737
PZRMX US Equity,0.304076018133059
DPQI3CU LX Equity,0.10804320430194803
TRXAX US Equity,0.2947131810754454
LBFPGB1 LX Equity,-0.0586150067844986
UBSFLBI LX Equity,0.2941059178762504
SACTP1A LX Equity,0.14588830953884868
CABALI3 HK Equity,0.33027116287684766
COPEVDA AR Equity,0.3104817740081021
GIMPLGM GU Equity,0.3905707137515614
SACTP2A LX Equity,0.20346404604986892
GBALFND VI Equity,0.19805782125886173
STRTDOC AR Equity,0.05801546935256535
FPFEMOT MA Equity,0.2275643965032942
CETAX US Equity,0.3288084522005766
ABAEX US Equity,0.24883682158470422
TPDAX US Equity,0.3734385076510582
CAIBX US Equity,0.3837818946860193
FORTGOW KY Equity,0.4318770467823154
LCAIAUA SP Equity,0.21562452055595904
LZDRUIA ID Equity,0.24413734829512831
BUTIBLI KY Equity,0.40549673106957906
LSBICBU LX Equity,0.1620941668917131
BELNIDU LX Equity,0.3415707691412264
DURFXUS LE Equity,-0.001962904789326349
PICGDJD SW Equity,0.21197331737778688
CORGMFA ID Equity,0.28695054597006286
HAFAX US Equity,0.33079361054985046
SCLAX US Equity,0.03352382989972758
AGMAIA1 LX Equity,0.2844858931924034
SAGBGAU ID Equity,0.3094116615727787
CIPETPC LX Equity,0.3282832973437806
PMARX US Equity,0.3787366592187633
SISBAA1 LX Equity,0.3506871177361984
UTISPEB MP Equity,0.3391287031955202
PGPCBFA ID Equity,0.3026856509121403
DPRSX US Equity,0.31961774484950123
PIPONDU SW Equity,0.36874454708141674
BZWBALI HK Equity,0.24769332523377086
SLAUSID ID Equity,0.471767046833642
HDAVX US Equity,0.3303982917609679
BUFBX US Equity,0.34820688618451123
BERIX US Equity,0.31810649489806136
AGGSTAC LX Equity,0.29922428805276985
MBAIX US Equity,0.11918626704234984
BBSALIU LX Equity,0.2617898327223855
PRAFX US Equity,0.39879763265731033
CORGFRZ KY Equity,0.43882231109326847
BGAMAA2 LX Equity,0.17083842090194074
AGSDYIT LX Equity,0.3432079199205037
WDIIX US Equity,0.37705758877869355
AMECX US Equity,0.33796894221902973
SCHGTRA LX Equity,0.37566052534380145
CONML33 AV Equity,-0.41399237555333196
US1ARUP LX Equity,0.36595148988541665
AQRIX US Equity,0.24307731113888909
SCEMAIA LX Equity,0.2939653237568201
CABNX US Equity,0.2520416710598862
TYGLCON SP Equity,0.3970830699715362
FPACX US Equity,0.2904682248716148
JGAMAUA ID Equity,0.3955336724218285
BAUSDBA IJ Equity,0.18907369108723146
WARINBU GU Equity,0.31583564554184806
ALLMNBU BH Equity,0.35109140465143135
MSUBPE1 ID Equity,0.27553635759524064
